RoundNumber,Country,Location,OfficialEventName,EventDate,EventName,EventFormat,Session1,Session1Date,Session1DateUtc,Session2,Session2Date,Session2DateUtc,Session3,Session3Date,Session3DateUtc,Session4,Session4Date,Session4DateUtc,Session5,Session5Date,Session5DateUtc,F1ApiSupport
11,Germany,Hockenheim,FORMULA 1 EMIRATES GROSSER PREIS VON DEUTSCHLAND 2018,2018-07-22,German Grand Prix,conventional,Practice 1,2018-07-20 11:00:00+02:00,2018-07-20 09:00:00,Practice 2,2018-07-20 15:00:00+02:00,2018-07-20 13:00:00,Practice 3,2018-07-21 12:00:00+02:00,2018-07-21 10:00:00,Qualifying,2018-07-21 15:00:00+02:00,2018-07-21 13:00:00,Race,2018-07-22 15:10:00+02:00,2018-07-22 13:10:00,True
12,Hungary,Budapest,FORMULA 1 ROLEX MAGYAR NAGYDÍJ 2018,2018-07-29,Hungarian Grand Prix,conventional,Practice 1,2018-07-27 11:00:00+02:00,2018-07-27 09:00:00,Practice 2,2018-07-27 15:00:00+02:00,2018-07-27 13:00:00,Practice 3,2018-07-28 12:00:00+02:00,2018-07-28 10:00:00,Qualifying,2018-07-28 15:00:00+02:00,2018-07-28 13:00:00,Race,2018-07-29 15:10:00+02:00,2018-07-29 13:10:00,True
13,Belgium,Spa-Francorchamps,FORMULA 1 2018 JOHNNIE WALKER BELGIAN GRAND PRIX,2018-08-26,Belgian Grand Prix,conventional,Practice 1,2018-08-24 11:00:00+02:00,2018-08-24 09:00:00,Practice 2,2018-08-24 15:00:00+02:00,2018-08-24 13:00:00,Practice 3,2018-08-25 12:00:00+02:00,2018-08-25 10:00:00,Qualifying,2018-08-25 15:00:00+02:00,2018-08-25 13:00:00,Race,2018-08-26 15:10:00+02:00,2018-08-26 13:10:00,True
14,Italy,Monza,FORMULA 1 GRAN PREMIO HEINEKEN D'ITALIA 2018,2018-09-02,Italian Grand Prix,conventional,Practice 1,2018-08-31 11:00:00+02:00,2018-08-31 09:00:00,Practice 2,2018-08-31 15:00:00+02:00,2018-08-31 13:00:00,Practice 3,2018-09-01 12:00:00+02:00,2018-09-01 10:00:00,Qualifying,2018-09-01 15:00:00+02:00,2018-09-01 13:00:00,Race,2018-09-02 15:10:00+02:00,2018-09-02 13:10:00,True
15,Singapore,Singapore,FORMULA 1 2018 SINGAPORE AIRLINES SINGAPORE GRAND PRIX,2018-09-16,Singapore Grand Prix,conventional,Practice 1,2018-09-14 16:30:00+08:00,2018-09-14 08:30:00,Practice 2,2018-09-14 20:30:00+08:00,2018-09-14 12:30:00,Practice 3,2018-09-15 18:00:00+08:00,2018-09-15 10:00:00,Qualifying,2018-09-15 21:00:00+08:00,2018-09-15 13:00:00,Race,2018-09-16 20:10:00+08:00,2018-09-16 12:10:00,True
16,Russia,Sochi,FORMULA 1 2018 VTB RUSSIAN GRAND PRIX,2018-09-30,Russian Grand Prix,conventional,Practice 1,2018-09-28 11:00:00+03:00,2018-09-28 08:00:00,Practice 2,2018-09-28 15:00:00+03:00,2018-09-28 12:00:00,Practice 3,2018-09-29 12:00:00+03:00,2018-09-29 09:00:00,Qualifying,2018-09-29 15:00:00+03:00,2018-09-29 12:00:00,Race,2018-09-30 14:10:00+03:00,2018-09-30 11:10:00,True
17,Japan,Suzuka,FORMULA 1 2018 HONDA JAPANESE GRAND PRIX,2018-10-07,Japanese Grand Prix,conventional,Practice 1,2018-10-05 10:00:00+09:00,2018-10-05 01:00:00,Practice 2,2018-10-05 14:00:00+09:00,2018-10-05 05:00:00,Practice 3,2018-10-06 12:00:00+09:00,2018-10-06 03:00:00,Qualifying,2018-10-06 15:00:00+09:00,2018-10-06 06:00:00,Race,2018-10-07 14:10:00+09:00,2018-10-07 05:10:00,True
18,United States,Austin,FORMULA 1 PIRELLI 2018 UNITED STATES GRAND PRIX,2018-10-21,United States Grand Prix,conventional,Practice 1,2018-10-19 10:00:00-05:00,2018-10-19 15:00:00,Practice 2,2018-10-19 14:00:00-05:00,2018-10-19 19:00:00,Practice 3,2018-10-20 13:00:00-05:00,2018-10-20 18:00:00,Qualifying,2018-10-20 16:00:00-05:00,2018-10-20 21:00:00,Race,2018-10-21 13:10:00-05:00,2018-10-21 18:10:00,True
19,Mexico,Mexico City,FORMULA 1 GRAN PREMIO DE MÉXICO 2018,2018-10-28,Mexican Grand Prix,conventional,Practice 1,2018-10-26 10:00:00-06:00,2018-10-26 16:00:00,Practice 2,2018-10-26 14:00:00-06:00,2018-10-26 20:00:00,Practice 3,2018-10-27 10:00:00-06:00,2018-10-27 16:00:00,Qualifying,2018-10-27 13:00:00-06:00,2018-10-27 19:00:00,Race,2018-10-28 13:10:00-06:00,2018-10-28 19:10:00,True
20,Brazil,São Paulo,FORMULA 1 GRANDE PRÊMIO HEINEKEN DO BRASIL 2018,2018-11-11,Brazilian Grand Prix,conventional,Practice 1,2018-11-09 11:00:00-02:00,2018-11-09 13:00:00,Practice 2,2018-11-09 15:00:00-02:00,2018-11-09 17:00:00,Practice 3,2018-11-10 12:00:00-02:00,2018-11-10 14:00:00,Qualifying,2018-11-10 15:00:00-02:00,2018-11-10 17:00:00,Race,2018-11-11 15:10:00-02:00,2018-11-11 17:10:00,True
21,United Arab Emirates,Yas Marina,FORMULA 1 2018 ETIHAD AIRWAYS ABU DHABI GRAND PRIX,2018-11-25,Abu Dhabi Grand Prix,conventional,Practice 1,2018-11-23 13:00:00+04:00,2018-11-23 09:00:00,Practice 2,2018-11-23 17:00:00+04:00,2018-11-23 13:00:00,Practice 3,2018-11-24 14:00:00+04:00,2018-11-24 10:00:00,Qualifying,2018-11-24 17:00:00+04:00,2018-11-24 13:00:00,Race,2018-11-25 17:10:00+04:00,2018-11-25 13:10:00,True
